"","Row_ID","Maternal_Genotype","Female_Source","source","K_planted","Notes","GER"
"1","S242102","Fh1DH22.271","FL014.48 k.1","CH",10,"high.ger",5
"2","S242103","Fh1DH22.030","FL002.50k.4","CH",10,"high.ger",9
"3","S242104","Fh1DH22.236","FL010.50k.8","CH",10,"high.ger",9
"4","S242105","Fh1DH22.126","FL003.50k.20","CH",10,"high.ger",9
"5","S242106","Fh1DH22.222","FL009.50k.21","CH",10,"high.ger",2
"6","S242107","Fh1DH22.055","FL002.49 k.2","CH",10,"high.ger",8
"7","S242108","Fh1DH22.127","FL003.50k.21","CH",10,"high.ger",9
"8","S242109","Fh1DH22.067","FL002.50k.16","CH",10,"high.ger",9
"9","S242110","Fh1DH22.035","FL013.50k.5","CH",10,"high.ger",6
"10","S242111","Fh1DH22.005","FL005.50k.2","CH",10,"poor.ger",0
"11","S242112","Fh1DH22.004","FL005.50k.1","CH",10,"poor.ger",6
"12","S242113","Fh1DH22.021","FL011.50k.3","CH",10,"poor.ger",0
"13","S242114","Fh1DH22.260","FL011.50k.16","CH",10,"poor.ger",1
"14","S242115","Fh1DH22.009","FL008.50k.6","CH",10,"poor.ger",5
"15","S242116","Fh1DH22.180","FL008.50k.10","CH",10,"poor.ger",4
"16","S242117","Fh1DH22.023","FL011.50k.5","CH",10,"poor.ger",0
"17","S242118","Fh1DH22.122","FL003.50K.16","CH",10,"poor.ger",4
"18","S242119","Fh1DH22.216","FL009.50k.15","CH",10,"poor.ger",5
"19","S242122","Fh1DH22.067","FL002.50k.16","CH",10,"high.ger",10
"20","S242123","Fh1DH22.126","FL003.50k.20","CH",10,"high.ger",5
"21","S242124","Fh1DH22.055","FL002.49 k.2","CH",10,"high.ger",7
"22","S242125","Fh1DH22.030","FL002.50k.4","CH",10,"high.ger",10
"23","S242126","Fh1DH22.271","FL014.48 k.1","CH",10,"high.ger",8
"24","S242127","Fh1DH22.222","FL009.50k.21","CH",10,"high.ger",3
"25","S242128","Fh1DH22.236","FL010.50k.8","CH",10,"high.ger",9
"26","S242129","Fh1DH22.035","FL013.50k.5","CH",10,"high.ger",5
"27","S242130","Fh1DH22.127","FL003.50k.21","CH",10,"high.ger",8
"28","S242131","Fh1DH22.004","FL005.50k.1","CH",10,"poor.ger",6
"29","S242132","Fh1DH22.260","FL011.50k.16","CH",10,"poor.ger",0
"30","S242133","Fh1DH22.180","FL008.50k.10","CH",10,"poor.ger",3
"31","S242134","Fh1DH22.009","FL008.50k.6","CH",10,"poor.ger",3
"32","S242135","Fh1DH22.122","FL003.50K.16","CH",10,"poor.ger",4
"33","S242136","Fh1DH22.023","FL011.50k.5","CH",10,"poor.ger",0
"34","S242137","Fh1DH22.005","FL005.50k.2","CH",10,"poor.ger",1
"35","S242138","Fh1DH22.216","FL009.50k.15","CH",10,"poor.ger",1
"36","S242139","Fh1DH22.021","FL011.50k.3","CH",10,"poor.ger",0
"37","S242142","Fh1DH22.021","FL011.50k.3","CH",10,"poor.ger",0
"38","S242143","Fh1DH22.009","FL008.50k.6","CH",10,"poor.ger",3
"39","S242144","Fh1DH22.260","FL011.50k.16","CH",10,"poor.ger",1
"40","S242145","Fh1DH22.005","FL005.50k.2","CH",10,"poor.ger",2
"41","S242146","Fh1DH22.180","FL008.50k.10","CH",10,"poor.ger",4
"42","S242147","Fh1DH22.004","FL005.50k.1","CH",10,"poor.ger",4
"43","S242148","Fh1DH22.023","FL011.50k.5","CH",10,"poor.ger",1
"44","S242149","Fh1DH22.122","FL003.50K.16","CH",10,"poor.ger",6
"45","S242150","Fh1DH22.216","FL009.50k.15","CH",10,"poor.ger",0
"46","S242151","Fh1DH22.055","FL002.49 k.2","CH",10,"high.ger",8
"47","S242152","Fh1DH22.271","FL014.48 k.1","CH",10,"high.ger",6
"48","S242153","Fh1DH22.127","FL003.50k.21","CH",10,"high.ger",9
"49","S242154","Fh1DH22.067","FL002.50k.16","CH",10,"high.ger",10
"50","S242155","Fh1DH22.236","FL010.50k.8","CH",10,"high.ger",9
"51","S242156","Fh1DH22.030","FL002.50k.4","CH",10,"high.ger",10
"52","S242157","Fh1DH22.035","FL013.50k.5","CH",10,"high.ger",7
"53","S242158","Fh1DH22.222","FL009.50k.21","CH",10,"high.ger",4
"54","S242159","Fh1DH22.126","FL003.50k.20","CH",10,"high.ger",7
"55","S242162","Fh1DH22.030","ID11118","ID",15,"high.ger",13
"56","S242163","Fh1DH22.035","ID11123","ID",15,"high.ger",15
"57","S242164","Fh1DH22.009","ID11097","ID",15,"poor.ger",10
"58","S242165","Fh1DH22.005","ID11093","ID",15,"poor.ger",3
"59","S242166","Fh1DH22.005","ID11093","ID",15,"poor.ger",2
"60","S242167","Fh1DH22.009","ID11097","ID",15,"poor.ger",9
"61","S242168","Fh1DH22.030","ID11118","ID",15,"high.ger",14
"62","S242169","Fh1DH22.035","ID11123","ID",15,"high.ger",14
"63","S242170","Fh1DH22.009","ID11097","ID",15,"poor.ger",7
"64","S242171","Fh1DH22.005","ID11093","ID",15,"poor.ger",0
"65","S242172","Fh1DH22.035","ID11123","ID",15,"high.ger",14
"66","S242173","Fh1DH22.030","ID11118","ID",15,"high.ger",12
